,geometry,index_right,name,type,elevation,tag,initial_quality,base_demand
0,POINT (9 27.85),0,10,Junction,44.805600000000005,,0.0,0.0
1,POINT (29.29 26.4),23,127,Junction,17.0688,,0.0,0.001114172868424
2,POINT (27.02 9.81),4,40,Junction,40.203120000000006,,0.0,0.0
3,POINT (33.01 3.01),5,50,Junction,35.5092,,0.0,0.0
4,POINT (23.9 29.94),6,60,Junction,0.0,,0.0,0.0
5,POINT (23.9 29.94),6,60,Junction,0.0,,0.0,0.0
6,POINT (23 29.49),7,601,Junction,0.0,,0.0,0.0
7,POINT (23.71 29.03),8,61,Junction,0.0,,0.0,0.0
8,POINT (23.71 29.03),8,61,Junction,0.0,,0.0,0.0
9,POINT (13.81 22.94),9,101,Junction,12.8016,,0.0,0.01198398280618
10,POINT (13.81 22.94),9,101,Junction,12.8016,,0.0,0.01198398280618
11,POINT (12.96 21.31),10,103,Junction,13.1064,,0.0,0.00840361416048
12,POINT (16.97 21.28),11,105,Junction,8.6868,,0.0,0.008540519886668001
13,POINT (16.97 21.28),11,105,Junction,8.6868,,0.0,0.008540519886668001
14,POINT (18.45 20.46),12,107,Junction,6.7056000000000004,,0.0,0.003447248331296
15,POINT (17.64 18.92),13,109,Junction,6.1874400000000005,,0.0,0.014599071446960002
16,POINT (20.21 17.53),14,111,Junction,3.048,,0.0,0.008955022477016
17,POINT (20.21 17.53),14,111,Junction,3.048,,0.0,0.008955022477016
18,POINT (20.21 17.53),14,111,Junction,3.048,,0.0,0.008955022477016
19,POINT (22.04 16.61),15,113,Junction,0.6096,,0.0,0.001262434829964
20,POINT (22.04 16.61),15,113,Junction,0.6096,,0.0,0.001262434829964
21,POINT (20.98 19.18),16,115,Junction,4.2672,,0.0,0.00328699923244
22,POINT (20.98 19.18),16,115,Junction,4.2672,,0.0,0.00328699923244
23,POINT (20.98 19.18),16,115,Junction,4.2672,,0.0,0.00328699923244
24,POINT (21.69 21.28),17,117,Junction,4.1452800000000005,,0.0,0.007426347018244
25,POINT (21.69 21.28),17,117,Junction,4.1452800000000005,,0.0,0.007426347018244
26,POINT (23.7 22.76),18,119,Junction,0.6096,,0.0,0.011112076291932
27,POINT (23.7 22.76),18,119,Junction,0.6096,,0.0,0.011112076291932
28,POINT (23.7 22.76),18,119,Junction,0.6096,,0.0,0.011112076291932
29,POINT (22.08 23.1),19,120,Junction,0.0,,0.0,0.0
30,POINT (22.08 23.1),19,120,Junction,0.0,,0.0,0.0
31,POINT (22.08 23.1),19,120,Junction,0.0,,0.0,0.0
32,POINT (23.54 25.5),20,121,Junction,-0.6096,,0.0,0.002626444876132
33,POINT (23.54 25.5),20,121,Junction,-0.6096,,0.0,0.002626444876132
34,POINT (23.54 25.5),20,121,Junction,-0.6096,,0.0,0.002626444876132
35,POINT (23.37 27.31),21,123,Junction,3.3528000000000002,,0.0,6.30901964e-05
36,POINT (24.59 25.64),22,125,Junction,3.3528000000000002,,0.0,0.00287691295584
37,POINT (24.59 25.64),22,125,Junction,3.3528000000000002,,0.0,0.00287691295584
38,POINT (29.29 26.4),23,127,Junction,17.0688,,0.0,0.001114172868424
39,POINT (29.44 26.91),2,20,Junction,39.3192,,0.0,0.0
40,POINT (30.32 26.39),24,129,Junction,15.5448,,0.0,0.0
41,POINT (30.32 26.39),24,129,Junction,15.5448,,0.0,0.0
42,POINT (33.28 24.54),26,139,Junction,9.4488,,0.0,0.000371601256796
43,POINT (35.68 23.08),27,141,Junction,1.2192,,0.0,0.00062143843454
44,POINT (35.68 23.08),27,141,Junction,1.2192,,0.0,0.00062143843454
45,POINT (37.47 21.97),28,143,Junction,-1.3716000000000002,,0.0,0.00039115921768000003
46,POINT (33.02 19.29),29,145,Junction,0.3048,,0.0,0.001743182126532
47,POINT (30.24 20.38),30,147,Junction,5.638800000000001,,0.0,0.0005394211792200001
48,POINT (29.62 20.74),31,149,Junction,4.8768,,0.0,0.0017078516165480002
49,POINT (28.29 21.39),32,151,Junction,10.2108,,0.0,0.009115271575872
50,POINT (28.29 21.39),32,151,Junction,10.2108,,0.0,0.009115271575872
51,POINT (28.13 22.63),33,153,Junction,20.177760000000003,,0.0,0.0027866939749880003
52,POINT (24.85 20.16),34,157,Junction,3.99288,,0.0,0.003267441271556
53,POINT (23.12 17.5),35,159,Junction,1.8288000000000002,,0.0,0.0026068869152480003
54,POINT (25.1 15.28),36,161,Junction,1.2192,,0.0,0.0009968251031200002
55,POINT (25.1 15.28),36,161,Junction,1.2192,,0.0,0.0009968251031200002
56,POINT (25.39 14.98),37,163,Junction,1.524,,0.0,0.000594309650088
57,POINT (25.1 15.28),36,161,Junction,1.2192,,0.0,0.0009968251031200002
58,POINT (25.98 15.14),38,164,Junction,1.524,,0.0,0.0
59,POINT (25.88 12.98),40,167,Junction,-1.524,,0.0,0.0009185932595840001
60,POINT (25.68 12.74),41,169,Junction,-1.524,,0.0,0.0
61,POINT (25.68 12.74),41,169,Junction,-1.524,,0.0,0.0
62,POINT (26.65 11.8),42,171,Junction,-1.2192,,0.0,0.002481968326376
63,POINT (26.65 11.8),42,171,Junction,-1.2192,,0.0,0.002481968326376
64,POINT (26.87 11.59),43,173,Junction,-1.2192,,0.0,0.0
65,POINT (25.72 10.74),46,181,Junction,2.4384,,0.0,0.0
66,POINT (25.45 10.18),47,183,Junction,3.3528000000000002,,0.0,0.0
67,POINT (25.71 10.4),45,179,Junction,2.4384,,0.0,0.0
68,POINT (25.97 11),89,271,Junction,1.8288000000000002,,0.0,0.0
69,POINT (25.97 11),89,271,Junction,1.8288000000000002,,0.0,0.0
70,POINT (25.45 10.18),47,183,Junction,3.3528000000000002,,0.0,0.0
71,POINT (25.45 10.18),47,183,Junction,3.3528000000000002,,0.0,0.0
72,POINT (25.15 9.52),48,184,Junction,4.8768,,0.0,0.0
73,POINT (25.15 9.52),48,184,Junction,4.8768,,0.0,0.0
74,POINT (25.01 9.67),49,185,Junction,4.8768,,0.0,0.00161826353766
75,POINT (23.64 11.04),50,187,Junction,3.81,,0.0,0.0
76,POINT (23.64 11.04),50,187,Junction,3.81,,0.0,0.0
77,POINT (24.15 11.37),51,189,Junction,1.2192,,0.0,0.006808693995488
78,POINT (24.15 11.37),51,189,Junction,1.2192,,0.0,0.006808693995488
79,POINT (24.15 11.37),51,189,Junction,1.2192,,0.0,0.006808693995488
80,POINT (22.1 14.07),52,191,Junction,7.62,,0.0,0.0051670870851600005
81,POINT (22.1 14.07),52,191,Junction,7.62,,0.0,0.0051670870851600005
82,POINT (22.88 14.35),53,193,Junction,5.486400000000001,,0.0,0.004498961905284001
83,POINT (23.18 14.72),54,195,Junction,4.7244,,0.0,0.0
84,POINT (22.88 14.35),53,193,Junction,5.486400000000001,,0.0,0.004498961905284001
85,POINT (23.18 14.72),54,195,Junction,4.7244,,0.0,0.0
86,POINT (20.97 15.18),55,197,Junction,7.010400000000001,,0.0,0.001075056946656
87,POINT (29.42 8.44),56,199,Junction,-0.6096,,0.0,0.007527922234448
88,POINT (29.42 8.44),56,199,Junction,-0.6096,,0.0,0.007527922234448
89,POINT (30.89 8.57),57,201,Junction,0.030480000000000004,,0.0,0.0028144536614040003
90,POINT (30.89 8.57),57,201,Junction,0.030480000000000004,,0.0,0.0028144536614040003
91,POINT (23.8 10.9),59,204,Junction,6.4008,,0.0,0.0
92,POINT (29.2 6.46),60,205,Junction,6.4008,,0.0,0.004123575236704
93,POINT (29.2 6.46),60,205,Junction,6.4008,,0.0,0.004123575236704
94,POINT (31.66 6.64),61,206,Junction,0.3048,,0.0,0.0
95,POINT (31 6.61),62,207,Junction,2.7432000000000003,,0.0,0.004377828728196
96,POINT (31 6.61),62,207,Junction,2.7432000000000003,,0.0,0.004377828728196
97,POINT (32.54 6.81),63,208,Junction,4.8768,,0.0,0.0
98,POINT (33.76 6.59),64,209,Junction,-0.6096,,0.0,5.4888470868e-05
99,POINT (34.2 5.54),65,211,Junction,2.1336,,0.0,0.000546992002788
100,POINT (34.2 5.54),65,211,Junction,2.1336,,0.0,0.000546992002788
101,POINT (35.26 6.16),66,213,Junction,2.1336,,0.0,0.000879477337816
102,POINT (35.26 6.16),66,213,Junction,2.1336,,0.0,0.000879477337816
103,POINT (39.95 8.73),67,215,Junction,2.1336,,0.0,0.005816285206116
104,POINT (42.11 8.67),68,217,Junction,1.8288000000000002,,0.0,0.001528044556808
105,POINT (42.11 8.67),68,217,Junction,1.8288000000000002,,0.0,0.001528044556808
